ordinal hint RVA      name

          1    0 00015970 VIS_VSM_ConcreteRendererObserver_canceled
          2    1 000158F0 VIS_VSM_ConcreteRendererObserver_completed
          3    2 00015770 VIS_VSM_ConcreteRendererObserver_create
          4    3 000157B0 VIS_VSM_ConcreteRendererObserver_destroy
          5    4 00015800 VIS_VSM_ConcreteRendererObserver_progressed
          6    5 00015A00 VIS_VSM_ConcreteRendererObserver_setCallbackFuncAll
          7    6 000155F0 VIS_VSM_CreateManager
          8    7 00015FA0 VIS_VSM_HasManager
          9    8 00015650 VIS_VSM_LastError
         10    9 000013A0 VIS_VSM_VSMDvqmLevelNamesDataWrap_addLevelName
         11    A 000012E0 VIS_VSM_VSMDvqmLevelNamesDataWrap_create
         12    B 00001350 VIS_VSM_VSMDvqmLevelNamesDataWrap_destroy
         13    C 00002240 VIS_VSM_VSMRenderedDataWrap_create
         14    D 00002270 VIS_VSM_VSMRenderedDataWrap_destroy
         15    E 000022C0 VIS_VSM_VSMRenderedDataWrap_frameStart
         16    F 00002360 VIS_VSM_VSMRenderedDataWrap_numData
         17   10 00002560 VIS_VSM_VSMRenderedDataWrap_scores
         18   11 00002310 VIS_VSM_VSMRenderedDataWrap_setFrameStart
         19   12 000023B0 VIS_VSM_VSMRenderedDataWrap_setNumData
         20   13 00002720 VIS_VSM_VSMRenderedDataWrap_setParameter
         21   14 00002660 VIS_VSM_VSMRenderedDataWrap_setScores
         22   15 000024D0 VIS_VSM_VSMRenderedDataWrap_setWaves
         23   16 00002400 VIS_VSM_VSMRenderedDataWrap_waves
         24   17 000027E0 VIS_VSM_VSMRenderedScoreDataWrap_create
         25   18 00002820 VIS_VSM_VSMRenderedScoreDataWrap_destroy
         26   19 00002AF0 VIS_VSM_VSMRenderedScoreDataWrap_expDyn
         27   1A 00002910 VIS_VSM_VSMRenderedScoreDataWrap_expPit
         28   1B 00002870 VIS_VSM_VSMRenderedScoreDataWrap_notePit
         29   1C 000029B0 VIS_VSM_VSMRenderedScoreDataWrap_pbPit
         30   1D 00002B90 VIS_VSM_VSMRenderedScoreDataWrap_phoneme
         31   1E 00002B40 VIS_VSM_VSMRenderedScoreDataWrap_setExpDyn
         32   1F 00002960 VIS_VSM_VSMRenderedScoreDataWrap_setExpPit
         33   20 000028C0 VIS_VSM_VSMRenderedScoreDataWrap_setNotePit
         34   21 00002A00 VIS_VSM_VSMRenderedScoreDataWrap_setPbPit
         35   22 00002CE0 VIS_VSM_VSMRenderedScoreDataWrap_setPhoneme
         36   23 00002AA0 VIS_VSM_VSMRenderedScoreDataWrap_setVibPit
         37   24 00002A50 VIS_VSM_VSMRenderedScoreDataWrap_vibPit
